mid   G1G2G3G4G5  G2 dusen sabit haric sonuc                  sinif / aciklama
C-1   [.....]            0           0 kontrol KACTI          -- kontrol -- -- KONTROL: ilk siralama anahtari (y,x,idx) -> (y,x) -- kararli sort + enumerate = esdeger
C-2   [.....]            0           0 kontrol KACTI          -- kontrol -- -- KONTROL: min -> sorted()[0] (esdeger)
C-3   [.....]            0           0 kontrol KACTI          -- kontrol -- -- KONTROL: min x yerine x-sirali ilk parcanin x'i (esdeger)
C-4   [.....]            0           0 kontrol KACTI          -- kontrol -- -- KONTROL: min idx -> sorted()[0] (esdeger)
C-5   [.....]            0           0 kontrol KACTI          -- kontrol -- -- KONTROL: monitor_index SON parcadan (yuzey bolumlemesi -> hepsi ayni; esdeger)

davranis mutanti 53: yakalanan 50, kacan 3 ['M37', 'M23', 'M40']
kontrol 8: kacan 8, yakalanan (yanlis pozitif) []
kapi basina yakalama: G1-mypy 1/53, G2-birim 50/53, G3-real 12/53, G4-kapsam 50/53, G5-tum 50/53
yalniz real_check ile yakalanan: []; G2'de YALNIZ sabit-pin testiyle yakalanan: []
